A,dm,dp,dr,I,noise,fitness
9.675231026,0.162393561,0.162393561,0.162393561,0.046674864,0.041559481,0.083393679
11.01672543,0.161229464,0.161229464,0.161229464,0.053737262,0.046440238,0.084689901
9.829680753,0.162901601,0.162901601,0.162901601,0.048503954,0.043019194,0.085115012
12.23834597,0.160477613,0.160477613,0.160477613,0.055027269,0.053163503,0.088955446
10.99898941,0.161580967,0.161580967,0.161580967,0.0510966,0.049673234,0.088051764
8.113812552,0.163309185,0.163309185,0.163309185,0.04000357,0.03931296,0.096049399
9.374501682,0.16233484,0.16233484,0.16233484,0.045080998,0.039296214,0.083948035
9.675231026,0.162393561,0.162393561,0.162393561,0.046674864,0.041559481,0.083393679
10.29518572,0.161973344,0.161973344,0.161973344,0.051114467,0.044069829,0.084148834
10.0727719,0.162166578,0.162166578,0.162166578,0.049799255,0.043245591,0.084488957
9.418824035,0.162414737,0.162414737,0.162414737,0.046116682,0.039673339,0.084749675
10.73744966,0.161697044,0.161697044,0.161697044,0.051807644,0.045351423,0.084361854
10.02844955,0.162086682,0.162086682,0.162086682,0.048763571,0.042868465,0.084776016
12.26553017,0.160513844,0.160513844,0.160513844,0.057957523,0.052857362,0.088662939
11.75296332,0.160761993,0.160761993,0.160761993,0.057377446,0.048982396,0.085772446
10.94606753,0.161339547,0.161339547,0.161339547,0.053115925,0.048450628,0.088279621
8.477522808,0.163342962,0.163342962,0.163342962,0.040133559,0.038287756,0.085647032
10.76256201,0.161731276,0.161731276,0.161731276,0.049594373,0.048418299,0.087850833
11.83572101,0.160943348,0.160943348,0.160943348,0.055618836,0.054934023,0.095311014
9.808737081,0.161788207,0.161788207,0.161788207,0.04936556,0.041747806,0.086496687
10.59150621,0.161198098,0.161198098,0.161198098,0.051308202,0.044286491,0.085345311
9.102278512,0.163171561,0.163171561,0.163171561,0.043985969,0.040704337,0.084849019
9.198754272,0.16314232,0.16314232,0.16314232,0.042810783,0.044802341,0.090639634
10.42269895,0.162107691,0.162107691,0.162107691,0.05352204,0.043519294,0.08454354
10.16633114,0.161671352,0.161671352,0.161671352,0.046431793,0.045044218,0.087591906
11.15016905,0.160822526,0.160822526,0.160822526,0.052730485,0.046170136,0.086898678
10.24188585,0.161650004,0.161650004,0.161650004,0.050591168,0.043277417,0.084841977
11.66585095,0.160208643,0.160208643,0.160208643,0.056612721,0.046577898,0.084436968
9.677634275,0.161874184,0.161874184,0.161874184,0.041421019,0.045088388,0.095083452
9.534793497,0.16194348,0.16194348,0.16194348,0.043341112,0.043341326,0.090917672
12.25010089,0.160362073,0.160362073,0.160362073,0.054235617,0.050281356,0.088686699
9.760183851,0.163730863,0.163730863,0.163730863,0.048708563,0.045734102,0.086352798
12.04891146,0.159897113,0.159897113,0.159897113,0.056575804,0.050340028,0.090608339
10.93967827,0.162868138,0.162868138,0.162868138,0.056876759,0.048116612,0.087771977
10.19003532,0.161991288,0.161991288,0.161991288,0.048590259,0.046235905,0.086290515
10.51535816,0.161880733,0.161880733,0.161880733,0.051525033,0.05020937,0.093233231
10.5098268,0.161842832,0.161842832,0.161842832,0.047363593,0.04761481,0.089201694
10.90180008,0.162856561,0.162856561,0.162856561,0.056663933,0.04793802,0.087032022
9.626717413,0.163148163,0.163148163,0.163148163,0.052024425,0.044596988,0.087453175
9.573048791,0.162784866,0.162784866,0.162784866,0.042516657,0.043964404,0.087151205
10.01172681,0.162621752,0.162621752,0.162621752,0.0508414,0.042419163,0.08475759
11.15931379,0.160696521,0.160696521,0.160696521,0.051588957,0.048173296,0.088959101
9.044301649,0.161916648,0.161916648,0.161916648,0.048074248,0.035981698,0.089070858
9.724459346,0.161900223,0.161900223,0.161900223,0.05252359,0.038506854,0.086346716
11.61292935,0.160611918,0.160611918,0.160611918,0.057503068,0.049100137,0.088049126
11.65972937,0.160937166,0.160937166,0.160937166,0.054530344,0.050926833,0.087286352
13.19851301,0.160503253,0.160503253,0.160503253,0.058166488,0.060635723,0.095005178
9.972859585,0.162408421,0.162408421,0.162408421,0.051422752,0.040500039,0.083404174
8.878244369,0.162878282,0.162878282,0.162878282,0.043424148,0.038465279,0.083949458
9.459011389,0.161624398,0.161624398,0.161624398,0.04475349,0.03889748,0.08630716
9.922110217,0.161699324,0.161699324,0.161699324,0.045738658,0.044405478,0.090087447
