Time,Light,Forskolin 5 uM (1),Forskolin 5 uM (2),Forskolin 5 uM (3),Forskolin 5 uM (4),Forskolin 10 uM (1),Forskolin 10 uM (2),Forskolin 10 uM (3),Forskolin 10 uM (4),Forskolin 15 uM (1),Forskolin 15 uM (2),Forskolin 15 uM (3),Forskolin 15 uM (4),DBC 0.5 mM (1),DBC 0.5 mM (2),DBC 0.5 mM (3),DBC 0.5 mM (4),DBC 1 mM (1),DBC 1 mM (2),DBC 1 mM (3),DBC 1 mM (4),DBC 3 mM (1),DBC 3 mM (2),DBC 3 mM (3),DBC 3 mM (4),U0126 10 uM (1),U0126 10 uM (2),U0126 10 uM (3),U0126 10 uM (4),U0126 20 uM (1),U0126 20 uM (2),U0126 20 uM (3),U0126 20 uM (4),U0126 40 uM (1),U0126 40 uM (2),U0126 40 uM (3),U0126 40 uM (4),Control DMSO (1),Control DMSO (2),Control DMSO (3),Control DMSO (4)
0.46499999999999986,0.0,-1.6596468958839101,-1.694548904940448,-1.7309259426907895,-1.7234537465071602,-1.796678211649771,-1.785769098269606,-1.817950276532947,-1.8451154462160892,-1.8673120839794088,-1.9351830994140484,-1.922127364652487,-1.9302603422611075,-1.6092822366237183,-1.5661784445180775,-1.6119185332283068,-1.6691826892162975,-1.7202848384545808,-1.7645718187904305,-1.7112294700740198,-1.7064337477575129,-1.9413496071897367,-1.953224898396297,-1.9265935665649487,-2.0056301489693693,-1.3362110146667319,-1.266049842609828,-1.1776167549778471,-1.34433854967748,-1.2864098693881185,-1.32418964746417,-1.3058785801390678,-1.3941082203598039,-1.5256351238774493,-1.572564016508943,-1.50410462276196,-1.4506674033814233,-1.2098445645521214,-1.3644122282487183,-1.2830454888519756,-1.2289201995264127
1.3949999999999996,0.0,-1.8864557972675502,-1.9230159896392967,-1.9507125156040575,-1.9526272234929554,-1.9980286304095056,-2.0168327745217414,-2.022561893962813,-2.041297446390832,-2.079516069061017,-2.1173837407419507,-2.132995295142865,-2.1547557557005548,-1.8807290668396257,-1.847184882766983,-1.9185979404798021,-1.9555183774069183,-1.9864772525054928,-2.01394596472799,-1.9740886011487935,-1.9593866368616022,-2.1419261318110934,-2.1368986353936816,-2.1471995210729324,-2.2072385362199762,-1.621342586918829,-1.568929548410714,-1.498033461462386,-1.6336750245456937,-1.6106959061771704,-1.5951161940911187,-1.6031095195110194,-1.6697648523086877,-1.7565966183097756,-1.7704549455161291,-1.7530492579568766,-1.6801133397780763,-1.535164028727439,-1.6478730003425808,-1.6022046677201705,-1.5639812503819304
2.3249999999999993,0.0,-2.0795278907392865,-2.132348477629699,-2.17238728931555,-2.163636866721023,-2.18737546651241,-2.1764217620477657,-2.210314127184975,-2.199861042408356,-2.2307901970399846,-2.287119951878407,-2.279686029397041,-2.2762929278039796,-2.118150528365517,-2.0763772132903164,-2.1256754349782443,-2.1688586295940144,-2.1677146407954755,-2.236750566958351,-2.1618451233450604,-2.1512184494136117,-2.30042873806703,-2.3150288994434587,-2.3209368112532127,-2.352750865930142,-1.8528244028129657,-1.8236323342999912,-1.7540447998093298,-1.8762663307722454,-1.8353315462445867,-1.8471856373306803,-1.8334541033732275,-1.8864854249234395,-1.9567142883664017,-1.9463579935225166,-1.941535910318742,-1.877883553981917,-1.8031671839046755,-1.8991056743172443,-1.8550398358663853,-1.8068809865499162
3.255000000000001,0.0,-2.219759200734548,-2.2613156594446266,-2.295120341200106,-2.2965806712456662,-2.2849529771421273,-2.2985716269077328,-2.3340773339824405,-2.329705211596175,-2.3232354974715763,-2.380603178314252,-2.3851199946422303,-2.3699617037563008,-2.2379954380847966,-2.2242554331494304,-2.289841433468454,-2.315656081004417,-2.3297826899394023,-2.369218720584239,-2.3026625149922606,-2.2885567720276225,-2.4215726064640157,-2.410376634142302,-2.4223509038933297,-2.4780180019415026,-2.017150229979306,-1.9558387656853347,-1.9432355687135172,-2.038262518651106,-2.0190091842696356,-2.008048274390431,-1.9747421352365064,-2.0438969251702988,-2.0995505702967274,-2.1203322800376063,-2.095249343796238,-2.0516939270399126,-1.980254814464265,-2.0481606281185387,-2.0266783363408427,-1.9943277282872687
4.1850000000000005,0.0,-2.3043044542969082,-2.345125193027622,-2.375180055044802,-2.372714187208907,-2.379820001365464,-2.38441688797031,-2.389636668303284,-2.3996835333079902,-2.4093777092373774,-2.4498907461431725,-2.4424210627102685,-2.4593728080744253,-2.3457424389365147,-2.324858007273534,-2.367397073042966,-2.422931141650481,-2.4260650524684557,-2.4591756042786095,-2.3856508978030107,-2.3853931764444716,-2.5115237422797416,-2.4828113473243696,-2.4882094580779475,-2.5594205516054505,-2.0539171958749707,-2.027917413305028,-2.0346106847587313,-2.1120070519392438,-2.118659580991271,-2.10464282439521,-2.0882234799777573,-2.1315549881039764,-2.222558679414103,-2.2271856666555214,-2.218931360964506,-2.1800212118210496,-2.042709827027692,-2.096136546909619,-2.1255614068717947,-2.067353854755779
5.115,0.0,-2.3254407676874984,-2.3493348043034796,-2.369137812490485,-2.367690148084429,-2.372462966833858,-2.390467655269875,-2.396916856938429,-2.4284029601376953,-2.44257397621054,-2.4502573470311564,-2.4615214187329473,-2.465952846054547,-2.344986319632292,-2.319941340117093,-2.390230713120741,-2.4289804871756346,-2.470938732742177,-2.451963870986656,-2.419071558753946,-2.4100625266191065,-2.5336488200408676,-2.5260504363157055,-2.5391185245028667,-2.6146730594084415,-1.988261899632712,-1.9465021532993645,-1.933574763492878,-2.0205315926146135,-2.0988139511356914,-2.0807828160274955,-2.062295623066677,-2.0879124631540176,-2.2699259811339285,-2.281576740710128,-2.2884777987332448,-2.270987388374767,-1.9573282908650325,-2.0177636719379306,-2.057629541344433,-2.0189301131402964
6.045,0.0,-2.3120273380357776,-2.3298175156608645,-2.337416039080323,-2.329816622376827,-2.313993902924781,-2.36286102946561,-2.372394116272677,-2.393211549797071,-2.4009735910163235,-2.4161634644486716,-2.4168265856398783,-2.420279641251349,-2.2470688697354673,-2.2223644073200304,-2.2792119803288005,-2.359211368785526,-2.4626610635654713,-2.4420951833239823,-2.3833978195366554,-2.36698321362758,-2.5448927120178335,-2.528637390357922,-2.558512454569503,-2.5965367400532613,-1.78229185599271,-1.7250377075041419,-1.7315029209611712,-1.8013128707088923,-2.003808276295149,-1.9380076046658508,-1.906728481600194,-1.9219216631306706,-2.237246214831103,-2.2788764746223107,-2.2734620905786307,-2.242966557204202,-1.7395263166723227,-1.8046187502859568,-1.885991040869976,-1.8307023433123715
6.975,0.0,-2.2648771004721535,-2.2471560578803764,-2.2717066513021296,-2.2447944218087414,-2.2640435105786163,-2.2928990325643905,-2.319133788889248,-2.3175702425132014,-2.3362618807142095,-2.3523749099395066,-2.3308749835378215,-2.3568016277960573,-2.0879057561966134,-2.0725951616315155,-2.126462801877478,-2.1978954881147534,-2.412995048505236,-2.3456856961578634,-2.307168671524971,-2.2808245876445277,-2.534011526233673,-2.5097895823360576,-2.512451870661242,-2.5978020646594366,-1.451389162931724,-1.3855584811502513,-1.4030355434594322,-1.495051420987664,-1.8040852354081416,-1.7336581781617175,-1.6572198295863179,-1.7070661556847206,-2.172253870610878,-2.1928537121104155,-2.184158142080137,-2.1572796676826202,-1.401557736028463,-1.4255723689976525,-1.554772950961421,-1.488612039641703
7.904999999999999,0.0,-2.1494403119543155,-2.1300523260246855,-2.1259375496792403,-2.1230580891771638,-2.120387731040421,-2.174909070222875,-2.1769785265924684,-2.205119529010978,-2.2312104029510373,-2.225531002697144,-2.2147448189199324,-2.2445539210763337,-1.8841316037086273,-1.8634477048998268,-1.9197789908286524,-1.9555183774069183,-2.2966720132325786,-2.2151153670824897,-2.159967558123098,-2.1386996746981253,-2.485046190204951,-2.4332896556590784,-2.432451909136369,-2.5134470909144127,-1.033446305709571,-0.944123447541562,-0.9324738225041231,-1.0086598817593444,-1.4599535687635097,-1.4300203297403218,-1.3840379169144987,-1.4015684810350102,-2.039698863472452,-2.0578404077195476,-2.052968270834562,-1.996870561706199,-0.8948025075074942,-0.9242057062114801,-1.0832695292833447,-1.0348347190191958
8.834999999999999,0.0,-1.975065726481947,-1.947125581491939,-1.9661957621494939,-1.9476031843684773,-1.982152924314988,-2.0130510449595134,-2.0240945652544227,-2.0222859948275063,-2.084558539993649,-2.0810902528315633,-2.0581218995339627,-2.0901165590723,-1.631209696446173,-1.6013515249449257,-1.6772699858646973,-1.6853142772833747,-2.13111862969846,-2.0845450380071164,-1.994741818590383,-1.9755874041404669,-2.4045254154021642,-2.339789745276104,-2.3278054948184796,-2.410955797814209,-0.6132524097591123,-0.514265813291476,-0.4764033093797728,-0.5859384860257013,-1.2289842170400571,-1.1052163448636958,-1.0627579508424145,-1.0998009367229034,-1.8906203789899012,-1.9351711768729878,-1.941535910318742,-1.8648883859028147,-0.4010916803447095,-0.4686175918900786,-0.6194034179308298,-0.5455206202756484
