Time,Light,Forskolin 5 uM (1),Forskolin 5 uM (2),Forskolin 5 uM (3),Forskolin 5 uM (4),Forskolin 10 uM (1),Forskolin 10 uM (2),Forskolin 10 uM (3),Forskolin 10 uM (4),Forskolin 15 uM (1),Forskolin 15 uM (2),Forskolin 15 uM (3),Forskolin 15 uM (4),DBC 0.5 mM (1),DBC 0.5 mM (2),DBC 0.5 mM (3),DBC 0.5 mM (4),DBC 1 mM (1),DBC 1 mM (2),DBC 1 mM (3),DBC 1 mM (4),DBC 3 mM (1),DBC 3 mM (2),DBC 3 mM (3),DBC 3 mM (4),U0126 10 uM (1),U0126 10 uM (2),U0126 10 uM (3),U0126 10 uM (4),U0126 20 uM (1),U0126 20 uM (2),U0126 20 uM (3),U0126 20 uM (4),U0126 40 uM (1),U0126 40 uM (2),U0126 40 uM (3),U0126 40 uM (4),Control DMSO (1),Control DMSO (2),Control DMSO (3),Control DMSO (4)
0.46499999999999986,0.0,3699.0,3941.0,4023.0,4003.0,3750.0,3830.0,3611.0,3361.0,3176.0,3441.0,3459.0,3403.0,4287.0,4306.0,4056.0,3940.0,3550.0,3854.0,4006.0,4021.0,3443.0,3356.0,3273.0,2987.0,5042.0,5189.0,5107.0,4669.0,4655.0,4875.0,5095.0,4895.0,4616.0,4273.0,4405.0,4316.0,5116.0,5149.0,4865.0,4965.0
1.3949999999999996,0.0,3141.0,3344.0,3441.0,3410.0,3230.0,3219.0,3077.0,2876.0,2671.0,2944.0,2907.0,2823.0,3569.0,3563.0,3277.0,3230.0,2939.0,3197.0,3306.0,3334.0,2890.0,2859.0,2727.0,2509.0,4282.0,4378.0,4311.0,3951.0,3887.0,4171.0,4304.0,4156.0,3987.0,3760.0,3775.0,3751.0,4293.0,4375.0,4071.0,4107.0
2.3249999999999993,0.0,2666.0,2797.0,2854.0,2864.0,2741.0,2797.0,2587.0,2484.0,2311.0,2481.0,2523.0,2509.0,2941.0,2957.0,2751.0,2701.0,2523.0,2610.0,2806.0,2813.0,2453.0,2377.0,2297.0,2164.0,3665.0,3696.0,3675.0,3349.0,3355.0,3516.0,3691.0,3575.0,3442.0,3304.0,3298.0,3264.0,3615.0,3689.0,3442.0,3485.0
3.255000000000001,0.0,2321.0,2460.0,2529.0,2520.0,2489.0,2474.0,2264.0,2163.0,2091.0,2226.0,2247.0,2267.0,2624.0,2566.0,2334.0,2337.0,2151.0,2261.0,2431.0,2440.0,2119.0,2119.0,2046.0,1867.0,3227.0,3342.0,3205.0,2947.0,2920.0,3098.0,3315.0,3153.0,3053.0,2853.0,2909.0,2836.0,3167.0,3282.0,3015.0,3005.0
4.1850000000000005,0.0,2113.0,2241.0,2317.0,2323.0,2244.0,2247.0,2119.0,1990.0,1886.0,2037.0,2097.0,2036.0,2339.0,2300.0,2137.0,2071.0,1930.0,2024.0,2210.0,2177.0,1871.0,1923.0,1883.0,1674.0,3129.0,3149.0,2978.0,2764.0,2684.0,2847.0,3013.0,2918.0,2718.0,2576.0,2596.0,2520.0,3009.0,3151.0,2769.0,2818.0
5.115,0.0,2061.0,2230.0,2333.0,2336.0,2263.0,2231.0,2100.0,1919.0,1807.0,2036.0,2047.0,2019.0,2341.0,2313.0,2079.0,2056.0,1827.0,2043.0,2121.0,2110.0,1810.0,1806.0,1757.0,1543.0,3304.0,3367.0,3229.0,2991.0,2731.0,2909.0,3082.0,3035.0,2589.0,2435.0,2420.0,2296.0,3225.0,3365.0,2938.0,2942.0
6.045,0.0,2094.0,2281.0,2417.0,2434.0,2414.0,2304.0,2164.0,2006.0,1906.0,2129.0,2164.0,2137.0,2600.0,2571.0,2361.0,2229.0,1846.0,2069.0,2216.0,2227.0,1779.0,1799.0,1709.0,1586.0,3853.0,3960.0,3731.0,3535.0,2956.0,3280.0,3496.0,3480.0,2678.0,2442.0,2458.0,2365.0,3776.0,3947.0,3365.0,3424.0
6.975,0.0,2210.0,2497.0,2591.0,2654.0,2543.0,2489.0,2303.0,2193.0,2060.0,2303.0,2389.0,2301.0,3021.0,2967.0,2749.0,2629.0,1960.0,2323.0,2419.0,2461.0,1809.0,1850.0,1823.0,1583.0,4735.0,4869.0,4547.0,4295.0,3429.0,3811.0,4160.0,4056.0,2855.0,2665.0,2684.0,2576.0,4631.0,4982.0,4189.0,4300.0
7.904999999999999,0.0,2494.0,2803.0,2977.0,2969.0,2914.0,2801.0,2674.0,2471.0,2310.0,2649.0,2693.0,2591.0,3560.0,3520.0,3274.0,3230.0,2227.0,2667.0,2811.0,2847.0,1944.0,2057.0,2021.0,1783.0,5849.0,6051.0,5716.0,5502.0,4244.0,4600.0,4887.0,4875.0,3216.0,3015.0,3016.0,2971.0,5913.0,6351.0,5362.0,5462.0
8.834999999999999,0.0,2923.0,3281.0,3400.0,3423.0,3271.0,3229.0,3073.0,2923.0,2659.0,3043.0,3103.0,2990.0,4229.0,4213.0,3890.0,3900.0,2607.0,3011.0,3251.0,3290.0,2166.0,2310.0,2280.0,2026.0,6969.0,7202.0,6849.0,6551.0,4791.0,5444.0,5742.0,5684.0,3622.0,3333.0,3298.0,3296.0,7162.0,7595.0,6516.0,6715.0
