Time,Light,PMA 0.5 uM (1),PMA 0.5 uM (2),PMA 0.5 uM (3),PMA 0.5 uM (4),PMA 1 uM (1),PMA 1 uM (2),PMA 1 uM (3),PMA 1 uM (4),PMA 3 uM (1),PMA 3 uM (2),PMA 3 uM (3),PMA 3 uM (4),EGF 30 ng/ml (1),EGF 30 ng/ml (2),EGF 30 ng/ml (3),EGF 30 ng/ml (4),EGF 50 ng/ml (1),EGF 50 ng/ml (2),EGF 50 ng/ml (3),EGF 50 ng/ml (4),EGF 80 ng/ml (1),EGF 80 ng/ml (2),EGF 80 ng/ml (3),EGF 80 ng/ml (4),Ro-318220 2 uM (1),Ro-318220 2 uM (2),Ro-318220 2 uM (3),Ro-318220 2 uM (4),Ro-318220 5 uM (1),Ro-318220 5 uM (2),Ro-318220 5 uM (3),Ro-318220 5 uM (4),Ro-318220 8 uM (1),Ro-318220 8 uM (2),Ro-318220 8 uM (3),Ro-318220 8 uM (4),Control DMSO (1),Control DMSO (2),Control DMSO (3),Control DMSO (4)
3.1500000000000004,0.0,6409.0,6283.0,6664.0,6976.0,4541.0,6764.0,6623.0,4377.0,5747.0,6061.0,6301.0,6330.0,4956.0,5161.0,3776.0,5340.0,5141.0,5273.0,5596.0,4077.0,7742.0,7062.0,7538.0,7347.0,7420.0,6693.0,7709.0,7785.0,8447.0,8218.0,8373.0,8660.0,6689.0,7751.0,8567.0,9196.0,8858.0,9549.0,6002.0,6404.0
3.8499999999999996,0.0,5717.0,5557.0,5954.0,6244.0,4106.0,5987.0,5917.0,3877.0,5110.0,5480.0,5650.0,5689.0,4484.0,4669.0,3416.0,4801.0,4704.0,4747.0,4940.0,3591.0,7025.0,6396.0,6878.0,6693.0,6347.0,5827.0,6569.0,6578.0,7427.0,7358.0,7411.0,7662.0,5956.0,7025.0,7722.0,8349.0,7811.0,8705.0,5225.0,5565.0
4.549999999999999,0.0,5081.0,4969.0,5324.0,5490.0,3700.0,5263.0,5207.0,3491.0,4621.0,4894.0,5097.0,5107.0,4069.0,4263.0,3127.0,4406.0,4279.0,4371.0,4530.0,3266.0,6484.0,5833.0,6347.0,6109.0,5482.0,5002.0,5682.0,5636.0,6560.0,6529.0,6676.0,6782.0,5245.0,6304.0,6838.0,7320.0,6935.0,7838.0,4685.0,4942.0
5.25,0.0,4396.0,4346.0,4694.0,4867.0,3331.0,4660.0,4630.0,3034.0,4083.0,4363.0,4550.0,4514.0,3733.0,3941.0,2824.0,4096.0,3947.0,3960.0,4137.0,2953.0,5876.0,5313.0,5844.0,5662.0,4855.0,4325.0,4973.0,4827.0,5720.0,5658.0,5802.0,5909.0,4664.0,5571.0,5995.0,6225.0,6211.0,7107.0,4189.0,4402.0
5.950000000000001,0.0,3879.0,3800.0,4157.0,4326.0,2960.0,4121.0,4003.0,2691.0,3617.0,3853.0,3949.0,3983.0,3454.0,3650.0,2619.0,3714.0,3623.0,3679.0,3774.0,2659.0,5424.0,4884.0,5387.0,5165.0,4338.0,3665.0,4444.0,4131.0,4958.0,5009.0,5122.0,5189.0,4124.0,4824.0,5295.0,5269.0,5489.0,6647.0,3891.0,3996.0
6.65,0.0,3427.0,3360.0,3641.0,3791.0,2663.0,3631.0,3551.0,2364.0,3143.0,3374.0,3496.0,3467.0,3180.0,3327.0,2436.0,3457.0,3356.0,3424.0,3504.0,2434.0,5029.0,4604.0,4944.0,4818.0,3767.0,3216.0,3887.0,3520.0,4356.0,4271.0,4362.0,4491.0,3615.0,4262.0,4591.0,4469.0,5033.0,6207.0,3705.0,3716.0
7.35,0.0,3027.0,2989.0,3180.0,3337.0,2357.0,3197.0,3100.0,2117.0,2849.0,3014.0,3103.0,3067.0,2964.0,3169.0,2366.0,3313.0,3159.0,3173.0,3316.0,2276.0,4722.0,4307.0,4616.0,4567.0,3382.0,2775.0,3504.0,3062.0,3865.0,3853.0,3940.0,3976.0,3204.0,3773.0,4033.0,3807.0,4860.0,6047.0,3784.0,3751.0
8.049999999999999,0.0,2620.0,2659.0,2800.0,3004.0,2173.0,2863.0,2716.0,1887.0,2520.0,2671.0,2764.0,2756.0,2859.0,3069.0,2291.0,3167.0,3017.0,3086.0,3183.0,2233.0,4647.0,4144.0,4547.0,4385.0,3016.0,2407.0,3042.0,2736.0,3427.0,3422.0,3464.0,3580.0,2882.0,3373.0,3587.0,3362.0,4771.0,6096.0,4091.0,3929.0
8.749999999999998,0.0,2390.0,2359.0,2520.0,2641.0,2026.0,2563.0,2430.0,1749.0,2283.0,2403.0,2464.0,2439.0,2823.0,2977.0,2380.0,3123.0,2954.0,3019.0,3094.0,2237.0,4564.0,4135.0,4515.0,4295.0,2718.0,2156.0,2787.0,2387.0,3087.0,3095.0,3204.0,3200.0,2607.0,3076.0,3236.0,2975.0,4969.0,6565.0,4633.0,4411.0
9.450000000000001,0.0,2206.0,2206.0,2299.0,2449.0,1907.0,2369.0,2251.0,1637.0,2060.0,2211.0,2264.0,2253.0,2929.0,3140.0,2607.0,3230.0,3057.0,3063.0,3169.0,2361.0,4704.0,4273.0,4645.0,4422.0,2522.0,1962.0,2542.0,2069.0,2864.0,2915.0,2905.0,2902.0,2438.0,2827.0,2925.0,2651.0,5384.0,7331.0,5642.0,5125.0
